Candidate,Party,Votes
BALDEV SINGH AULAKH,Bharatiya Janata Party,99100
SANJAY KAPOOR,Indian National Congress,76741
PRADEEP KUMAR,Bahujan Samaj Party,39344
SHAHID HUSSAIN KHAN,Peace Party,2688
SANTOSH SHARMA,Rashtriya Lok Dal,2439
HARENDER SINGH,Labour Party of India (V.V. Prasad),781
MAKDOOM AHMED,Independent,748
SATYA PRAKASH,Independent,626
None of the Above,None of the Above,1227
