Candidate,Party,Votes
AKSHAYVARALAL,Bharatiya Janata Party,104135
KIRAN BHARTI,Bahujan Samaj Party,57519
BANSHI DHAR BAUDH,Samajwadi Party,29349
BECHELAL,Independent,1700
KAMLAVATI DEVI,Republican Party of India (A),1053
BHAGWAN DAS,Rashtriya mahan Gantantra Party,1008
BABADEEN,Independent,975
POOJA,Independent,792
LALJEE,Bahujan Mukti Party,726
GURU PRASAD,Independent,643
GOVIND PRASAD,Rashtriya Kranti Party,545
INDRAJEET,Independent,540
None of the Above,None of the Above,3382
