Candidate,Party,Votes
MANISHA ANURAGI,Bharatiya Janata Party,147526
GAYADEEN ANURAGI,Indian National Congress,42883
ANIL KUMAR AHIRWAR,Bahujan Samaj Party,38710
AJIT KUMAR,Jan Adhikar Party,3083
GANGOTRI,Independent,2334
RAMESH CHANDRA VERMA,Bahujan Mukti Party,1674
DEVI SINGH,Rashtriya Shoshit Samaj Party,1206
None of the Above,None of the Above,4595
