Candidate,Party,Votes
PREM NARAYAN PANDEY,Bharatiya Janata Party,100294
VINOD KUMAR ALIS PANDIT SINGH,Samajwadi Party,61852
INDRA BAHADUR SINGH  ALIS PAPPU,Bahujan Samaj Party,29332
DIGVIJAY,Mahakranti Dal,1827
SURENDRA,Independent,1769
NARENDRA SINGH,Independent,1451
VINOD,Independent,1096
ARUN KUMAR,Independent,863
RAMJI,Independent,722
MAHESH SINGH,Independent,678
None of the Above,None of the Above,3384
