Candidate,Party,Votes
DR. ANITA LODHI RAJPUT,Bharatiya Janata Party,111807
HARISH KUMAR,Samajwadi Party,46177
DEVENDRA BHARDWAJ,Bahujan Samaj Party,44974
SATYAVEER,Rashtriya Lok Dal,2647
NAVRATAN SINGH,Independent,1108
LAL SINGH,Republican Sena,591
CAHRAN SINGH,Independent,457
None of the Above,None of the Above,2048
