Candidate,Party,Votes
RAM NARESH AGNIHOTRI,Bharatiya Janata Party,92697
ALOK KUMAR,Samajwadi Party,72400
SURENDRA SINGH,Bahujan Samaj Party,26041
CHAKRAPAN,Bhartiya Vanchitsamaj Party,808
SANDEEP KUMAR,Independent,696
AJAY KUMAR,Voters Party  International,522
PUSHPENDRA KUMAR,Bharatiya Subhash Sena,411
SUNIL KUMAR,Independent,398
HARIRAM SHAKYA,Rashtriya Kranti Party,308
ARVIND SINGH,Independent,223
None of the Above,None of the Above,1242
