Candidate,Party,Votes
LAXMI NARAYAN,Bharatiya Janata Party,117537
ATUL SINGH,Independent,53699
MANOJ PATHAK,Bahujan Samaj Party,41290
RISHI RAJ,Rashtriya Lok Dal,9801
DEEPAK PANDEY,Independent,1471
KULBHANU KUMAR,Communist Party of India,1171
MAHESH SINGH KUNTAL,Independent,634
RAJU,Independent,495
None of the Above,None of the Above,1224
