Candidate,Party,Votes
HAKIM LAL,Bahujan Samaj Party,72446
PRAMILA DEVI,Apna Dal (Soneylal),63920
NIDHI YADAV,Samajwadi Party,55403
AWADHESH KUMAR,Independent,2995
MITHAI LAL,Bahujan Awam Party,1448
VIJAY BAHADUR,Rashtriya Lok Dal,1349
PRABHAT TRIPATHI,Independent,973
SNEH LATA YADAV,Naveen Samajwadi Dal,588
MANGALA PRASAD,Independent,587
None of the Above,None of the Above,2414
