Candidate,Party,Votes
BAIJNATH RAWAT,Bharatiya Janata Party,97497
RAM MAGAN,Samajwadi Party,63977
KAMALA PRASAD RAWAT,Bahujan Samaj Party,48600
None of the Above,None of the Above,4096
