Candidate,Party,Votes
SHARADA PRASAD,Bharatiya Janata Party,96890
JITENDRA KUMAR,Bahujan Samaj Party,76827
POONAM,Samajwadi Party,48687
SRIPRASAD,Communist Party of India  (Marxist),3098
ANIL ALIAS ANIL PASWAN,Communist Party of India  (Marxist-Leninist)  (Liberation),1447
DHARMENDRA,Independent,1423
RAMCHANDRA,Jan Adhikar Party,900
RAMDHAWAL,Pragatisheel Manav Samaj Party,847
PARDESHI,Bharat Kalyan Party,723
RADHESHYAM,Lok Ekta Party,583
None of the Above,None of the Above,3162
