Candidate,Party,Votes
DR. SATISH CHANDRA DWIVEDI,Bharatiya Janata Party,59524
ARSHAD KHURSHEED,Bahujan Samaj Party,49316
MATA PRASAD PANDEY,Samajwadi Party,46601
RAKESH,Bahujan Mukti Party,1318
ANAND SWAROOP URF BABBU MISHRA,Rashtriya Lok Dal,1264
LAL JI YADAV,Independent,1165
None of the Above,None of the Above,1747
