Candidate,Party,Votes
NANDKISHOR,Bharatiya Janata Party,113088
ZAKIR ALI,Bahujan Samaj Party,70275
MADAN BHAIYA,Rashtriya Lok Dal,42539
RASHID MALIK,Samajwadi Party,42302
AMIT KUMAR,Independent,3808
NASIM,Independent,880
None of the Above,None of the Above,1663
