Candidate,Party,Votes
UPENDRA SINGH,Bharatiya Janata Party,111064
TANUJ PUNIA,Indian National Congress,81883
KM. MEETA GAUTAM,Bahujan Samaj Party,48095
RAMGOPAL,Samajwadi Party,4383
KUNJ BIHARI,Independent,2505
URMILA,Peace Party,1601
RAMDAYAL,Independent,1209
GYANWATI,Bhartiya Krishak Dal,719
RAJKAMAL BHASKAR,Lok Dal,520
RAMPHAL,Bahujan Mukti Party,518
LALJI,Dr. Bhimrao Ambedkar Dal,465
GAYA PRASAD,Rashtravyapi Janta Party,357
None of the Above,None of the Above,2968
