Candidate,Party,Votes
RAKESH SINGH,Indian National Congress,65104
KANCHAN LODHI,Bharatiya Janata Party,61452
MANISH KUMAR SINGH,Bahujan Samaj Party,45057
RAKESH,Independent,2277
SIRAZUL HAQ,Independent,1633
ANIL KUMAR,Bahujan Mukti Party,1572
NARENDRA KUMAR YADAV,Rashtriya Lok Dal,1068
SANJAY KUMAR,Independent,1023
RAM BARAN,Jan Adhikar Manch,938
HARISHCHANDRA,Bharat Kranti Rakshak Party,773
AMIT SINGH,Independent,744
SUNIL KUMAR TIWARI,Peace Party,657
MOHD. IMRAN,Indian Union Muslim League,410
RAMCHANDRA,Manavtawadi Samaj Party,405
None of the Above,None of the Above,2376
