Candidate,Party,Votes
VIKRAMAJEET,Bharatiya Janata Party,83239
ANSAR AHAMAD,Samajwadi Party,57254
MANOJ,Bahujan Samaj Party,51983
RAJ KUMAR,Independent,3171
CHANDRIKA PRASAD SAHU,Lok Dal,1503
RAMSAJIWAN,Rashtriya Lok Dal,1417
SUDHA PATEL,Bhartiya Sangam Party,857
AWANISH PANDEY,Independent,833
KAMLESH KUMAR,Independent,621
PAWAN TRIPATHI,Yuva Vikas Party,617
SATENDRA PRASAD,Republican Party of India,612
RAGHUNATH,Bahujan Awam Party,588
None of the Above,None of the Above,2571
