Candidate,Party,Votes
MUKUT BIHARI,Bharatiya Janata Party,85212
KHALID KHAN,Bahujan Samaj Party,57849
RAMTEJ YADAV,Samajwadi Party,54117
DANISH JAMEEL,All India Majlis-E-Ittehadul Muslimeen,3719
RAJ BAHADUR,Rashtriya Lok Dal,2963
DR. HARISH CHANDRA VISHWAKARMA,Moulik Adhikar Party,1275
PRASAD,Independent,1110
None of the Above,None of the Above,3291
