Candidate,Party,Votes
HAZI IRFAN SOLANKI,Samajwadi Party,73030
SURESH AWASTHI,Bharatiya Janata Party,67204
NAND LAL KORI,Bahujan Samaj Party,11949
ANKIT SRIVASTAVA,Bharatiya Karyasth Sena,411
MANMOHAN MISHRA,Independent,229
HIRA LAL SINGH JAYSWAL,Uttar Pradesh Republican Party,227
KISHAN LAL BALMIKI,Bhartiya Insan Party,152
SANJAY KUMAR ALIAS SANJAY CHAK,Bahujan Party,120
LADDAN,Rashtriya Ulama Council,109
None of the Above,None of the Above,791
