Candidate,Party,Votes
LAL BAHADUR,Bharatiya Janata Party,92818
INDRAJEET SAROJ,Bahujan Samaj Party,88658
HEMANT KUMAR TUNNU,Samajwadi Party,33717
JAYKARAN,Bahujan Mukti Party,1604
BAL CHANDRA GAUTAM,Independent,1473
VIKRAM SINGH RAJPASI,Bharat Kranti Rakshak Party,1414
None of the Above,None of the Above,3949
