Candidate,Party,Votes
OMKUMAR,Bharatiya Janata Party,76644
MUNNALAL PREMI,Indian National Congress,53493
VIVEK SINGH,Bahujan Samaj Party,47059
CHANDRAPAL SINGH,Rashtriya Lok Dal,6486
NIRMALA DEVI,Independent,935
NAIPAL,Gareeb Kranti Party,561
JITENDRA SINGH,Independent,479
PREM SINGH,Independent,430
GAJRAJ SINGH,Independent,302
RANJEET SINGH,Uttar Pradesh Republican Party,294
SUNITA SINGH,Bharatiya Momin Front,251
None of the Above,None of the Above,1273
