Candidate,Party,Votes
MOHAMMAD ABDULLAH AZAM KHAN,Samajwadi Party,106443
LAXMI SAINI,Bharatiya Janata Party,53347
NAWAB KAZIM ALI KHAN,Bahujan Samaj Party,42233
ARSHAD WARSI,Minorities Democratic Party,1283
NAVIN KUMAR,Rashtriya Lok Dal,902
MAHAVEER SINGH,Bharatiya Subhash Sena,583
IKRAM,Independent,299
None of the Above,None of the Above,872
