Candidate,Party,Votes
MANVENDRA SINGH,Bharatiya Janata Party,86435
RAMMURTEE SINGH VERMA,Samajwadi Party,69037
RIZWAN ALI,Bahujan Samaj Party,50762
ROOPA,Communist Party of India,2387
KUVER,Independent,1410
PRATAP SINGH,Independent,1246
RAJENDRA PRASAD,Independent,971
GUR DAYAL,Bharatiya Subhash Sena,689
OMKAR SINGH VERMA,Lok Dal,687
GUR PREET SINGH,Independent,556
None of the Above,None of the Above,2383
