Candidate,Party,Votes
BRIJESH,Bharatiya Janata Party,102244
MAJID ALI,Bahujan Samaj Party,72844
MAVIA ALI,Samajwadi Party,55385
BHUPESHWAR TYAGI,Rashtriya Lok Dal,1132
DHARMAVIR,Bahujan Mukti Party,651
RAKESH VERMA,Bhartiya Tarak Samaj Party,598
UMAR NAWAZ,Independent,415
ZAHIR FATMA,Independent,239
None of the Above,None of the Above,798
