Candidate,Party,Votes
SUNITA,Bharatiya Janata Party,76823
ATUL KUMAR,Bahujan Samaj Party,67559
OM PRAKASH,Samajwadi Party,49557
KARTAR SINGH YADAV,Independent,12206
TAUQEER KHAN,Jan Adhikar Party,6139
RAM PYARE,Communist Party of India  (Marxist-Leninist)  (Liberation),1081
HARINARAYAN SINGH YADAV,Rashtriya Parivartan Dal,1028
BHARAT,Janta Raj Party,535
RENU,Mahakranti Dal,445
None of the Above,None of the Above,1857
