Candidate,Party,Votes
BABU RAM PASWAN,Bharatiya Janata Party,128493
PEETAM RAM,Samajwadi Party,89251
ER.K.K. ARVIND,Bahujan Samaj Party,20139
AYASHA BEGUM,Rashtriya Lok Dal,1658
NATTHO DEVI,Sarva Samaj Kalyan Party,1502
SHYAM BIHARI,Communist Party of India  (Marxist-Leninist)  (Liberation),1322
MAHENDRA KUMAR RAJ,Bharatiya Subhash Sena,1144
RAMESHWAR DAYAL,Independent,1064
None of the Above,None of the Above,2246
