Candidate,Party,Votes
GORAKH NATH,Bharatiya Janata Party,86960
AWADHESH PRASAD,Samajwadi Party,58684
RAMGOPAL,Bahujan Samaj Party,46027
PREM KUMAR,Independent,1630
UMA SHANKAR,Bahujan Mukti Party,1380
DESH RAJ,Moulik Adhikar Party,1359
KARAN RAWAT,Independent,1099
None of the Above,None of the Above,2727
