Candidate,Party,Votes
RAHUL PRAKASH,Apna Dal (Soneylal),107007
DHANESHWAR,Bahujan Samaj Party,43539
BHAI LAL,Samajwadi Party,37108
SAROJ SARGAM,Nirbal Indian Shoshit Hamara Aam Dal,15095
SUSHIL KUMAR,Rashtriya Samaj Paksha,2064
VAKEEL KUMAR SAROJ,Rashtriya Lok Dal,1910
SURESH,Communist Party of India  (Marxist-Leninist)  (Liberation),1631
SINDHORA DEVI,Bahujan Mukti Party,1582
DHARMRAJ,Communist Party of India  (Marxist),1465
None of the Above,None of the Above,4397
