Candidate,Party,Votes
RAMAPATI  SHASTRI,Bharatiya Janata Party,102862
RAMESH CHANDRA,Bahujan Samaj Party,42701
RAM BISHUN AZAD,Samajwadi Party,24695
SHIV BAHADUR,Nirbal Indian Shoshit Hamara Aam Dal,1599
VIRENDRA KUMAR,Independent,1070
DEEN BANDHU,Independent,1034
SUBHASH CHAND,Bahujan Mukti Party,804
PRAVEEN KUMAR RAO,Jan Adhikar Party,760
RAJENDRA  PRASAD,Independent,630
RAM NARAYAN,Independent,597
None of the Above,None of the Above,2769
