Candidate,Party,Votes
ALKA RAI,Bharatiya Janata Party,122156
SIBGATULLA ANSARI,Bahujan Samaj Party,89429
JANAK KUMAR,Indian National Congress,9910
SURENDRA,Communist Party of India,2503
JAIGOBIND,Independent,901
DILIP KUMAR,Bahujan Mukti Party,684
SRIKRISHNA,Independent,634
SAGIR,Communist Party of India  (Marxist-Leninist)  (Liberation),565
PARMANAND,Jan Adhikar Party,556
SVATI,Samajwadi Janata Party (ChandraShekhar),523
None of the Above,None of the Above,2283
