Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Muktsar ,86,KANWARJIT SINGH,Shiromani Akali Dal,KARAN KAUR,Indian National Congress,7980                                              ,Result Declared
Nabha,109,SADHU SINGH,Indian National Congress,GURDEV SINGH DEV MANN,Aam Aadmi Party,18995                                             ,Result Declared
Nakodar ,31,GURPRATAP SINGH WADALA,Shiromani Akali Dal,SARWAN SINGH HAYER,Aam Aadmi Party,18407                                             ,Result Declared
Nawanshahr ,47,ANGAD SINGH,Indian National Congress,JARNAIL SINGH WAHID,Shiromani Akali Dal,3323                                              ,Result Declared
Nihal Singhwala  ,71,MANJIT  SINGH,Aam Aadmi Party,RAJWINDER  KAUR,Indian National Congress,27574                                             ,Result Declared
Pathankot,3,AMIT,Indian National Congress,ASHWANI KUMAR,Bharatiya Janata Party,11170                                             ,Result Declared
Patiala ,115,AMARINDER SINGH,Indian National Congress,DR.BALBIR SINGH,Aam Aadmi Party,52407                                             ,Result Declared
Patiala Rural,110,BRAHM MOHINDRA,Indian National Congress,KARANVIR SINGH TIWANA,Aam Aadmi Party,27229                                             ,Result Declared
Patti ,23,HARMINDER SINGH GILL,Indian National Congress,ADESH PARTAP SINGH KAIRON,Shiromani Akali Dal,8363                                              ,Result Declared
Payal ,67,LAKHVIR SINGH LAKHA,Indian National Congress,GURPREET SINGH LAPRAN,Aam Aadmi Party,21496                                             ,Result Declared
Phagwara ,29,SOM PARKASH,Bharatiya Janata Party,JOGINDER SINGH MANN,Indian National Congress,2009                                              ,Result Declared
Phillaur ,30,BALDEV SINGH KHAIRA,Shiromani Akali Dal,VIKRAMJIT SINGH CHAUDHARY,Indian National Congress,3477                                              ,Result Declared
Qadian,6,FATEHJANG SINGH BAJWA,Indian National Congress,SEWA SINGH,Shiromani Akali Dal,11737                                             ,Result Declared
Raikot ,69,JAGTAR SINGH JAGGA HISSOWAL,Aam Aadmi Party,AMAR SINGH,Indian National Congress,10614                                             ,Result Declared
Raja Sansi ,12,SUKHBINDER SINGH SARKARIA,Indian National Congress,VIR SINGH LOPOKE,Shiromani Akali Dal,5727                                              ,Result Declared
Rajpura,111,HARDIAL SINGH KAMBOJ,Indian National Congress,ASHUTOSH JOSHI,Aam Aadmi Party,32565                                             ,Result Declared
Rampura Phul ,90,GURPREET SINGH KANGAR,Indian National Congress,SIKANDER SINGH MALUKA,Shiromani Akali Dal,10385                                             ,Result Declared
Rupnagar ,50,AMARJIT SINGH SANDOA,Aam Aadmi Party,BRINDER SINGH DHILLON,Indian National Congress,23707                                             ,Result Declared
S.A.S.Nagar ,53,BALBIR SINGH SIDHU,Indian National Congress,NARINDER SINGH,Aam Aadmi Party,27873                                             ,Result Declared
Sahnewal ,59,SHARANJIT SINGH DHILLON,Shiromani Akali Dal,SATWINDER KAUR BITTI,Indian National Congress,4551                                              ,Result Declared
Samana,116,RAJINDER SINGH,Indian National Congress,SURJIT SINGH RAKHRA,Shiromani Akali Dal,9849                                              ,Result Declared
Samrala,58,AMRIK SINGH DHILLON,Indian National Congress,SARBANS SINGH MANKI,Aam Aadmi Party,11005                                             ,Result Declared
Sangrur,108,VIJAY INDER SINGLA,Indian National Congress,DINESH BANSAL,Aam Aadmi Party,30812                                             ,Result Declared
Sanour ,114,HARINDER PAL SINGH CHANDUMAJRA,Shiromani Akali Dal,HARINDER PAL SINGH MANN,Indian National Congress,4870                                              ,Result Declared
Sardulgarh ,97,DILRAJ SINGH,Shiromani Akali Dal,AJIT INDER SINGH,Indian National Congress,8857                                              ,Result Declared
Shahkot ,32,AJIT SINGH KOHAR,Shiromani Akali Dal,HARDEV SINGH LADI,Indian National Congress,4905                                              ,Result Declared
Sham Chaurasi ,42,PAWAN KUMAR ADIA,Indian National Congress,DR. RAVJOT SINGH,Aam Aadmi Party,3815                                              ,Result Declared
Shutrana ,117,NIRMAL SINGH,Indian National Congress,VANINDER KAUR LOOMBA,Shiromani Akali Dal,18520                                             ,Result Declared
Sri Hargobindpur ,8,BALWINDER SINGH,Indian National Congress,MANJIT SINGH,Shiromani Akali Dal,18065                                             ,Result Declared
Sujanpur ,1,DINESH SINGH,Bharatiya Janata Party,AMIT SINGH,Indian National Congress,18701                                             ,Result Declared
Sultanpur Lodhi ,28,NAVTEJ SINGH CHEEMA,Indian National Congress,UPINDERJIT KAUR,Shiromani Akali Dal,8162                                              ,Result Declared
Sunam ,101,AMAN ARORA,Aam Aadmi Party,GOBIND SINGH LONGOWAL,Shiromani Akali Dal,30307                                             ,Result Declared
Talwandi Sabo ,94,PROF. BALJINDER KAUR,Aam Aadmi Party,KHUSHBAZ SINGH JATANA,Indian National Congress,19293                                             ,Result Declared
Tarn Taran ,21,DR. DHARAMBIR AGNIHOTRI,Indian National Congress,HARMEET SINGH SANDHU,Shiromani Akali Dal,14629                                             ,Result Declared
Urmar ,41,SANGAT SINGH GILZIAN,Indian National Congress,ARBINDER SINGH RASULPUR,Shiromani Akali Dal,14954                                             ,Result Declared
Zira,75,KULBIR SINGH,Indian National Congress,HARI SINGH ZIRA,Shiromani Akali Dal,23071                                             ,Result Declared
