Party,Won,Leading,Total
Bharatiya Janata Party,3,0,3
Indian National Congress,77,0,77
Aam Aadmi Party,20,0,20
Shiromani Akali Dal,15,0,15
Lok Insaaf Party,2,0,2
Total,117,0,117
